  hdd_id    used_space    formatted_space  monitoring_date
       8          1713               1606  2023-12-26
       8          7540               3538  2023-12-27
       8          3483               7262  2023-12-28
       8          3512               5496  2023-12-29
       8          4804               3538  2023-12-30
       8          5912               2949  2023-12-31
       8          1721               8882  2024-01-01
       8          2680               8999  2024-01-02
       8          5711               1363  2024-01-03
       8           605               4900  2024-01-04
       8          2768               9916  2024-01-05
       8          6923               5249  2024-01-06
       8          1668               9199  2024-01-07
